,SerialNumberContract,Qty,ContractNumber,SerialNumber,is_serialnum
796,"unit STS #8, serial # 420-0078-2 is getting a NFG alarm among a few others.  Need to troubleshoot and clear.

site
ExxonMobil
2993 Irving
Dallas, TX  75247",0,50046000000rCKMAA2,"unit STS #8, serial # 420-0078-2 is getting a NFG alarm among a few others. Need to troubleshoot and clear. site ExxonMobil 2993 Irving Dallas, TX 75247 ",True
797,"We are currently experiencing another PDI Wavestar STS which is exhibiting the intermittent SAS-TX1 Down alarms, so it may be due to the fiber connection issues weíve seen with the other units.

This unit is on our 229/6th floor STS-W6-B3 and and the unit Serial Number is 411-0216.",0,50046000000rCKKAA2,"We are currently experiencing another PDI Wavestar STS which is exhibiting the intermittent SAS-TX1 Down alarms, so it may be due to the fiber connection issues weíve seen with the other units. This unit is on our 229/6th floor STS-W6-B3 and and the unit Serial Number is 411-0216. ",True
798,"Commissioning of 8 PDUs
110-4456

Site address:
Digital Realty Trust LLP
907 Security Row, Suite 170
Richardson, TX 75081

Contact:
Mark Brown
(602) 769-8837 (m)",0,50046000000rCKGAA2,"Commissioning of 8 PDUs 110-4456 Site address: Digital Realty Trust LLP 907 Security Row, Suite 170 Richardson, TX 75081 Contact: Mark Brown (602) 769-8837 (m) ",True
799,"RPP 1-2 has a comm alarm. BCMS 1-2.
Customer is requesting a tech Visit to investigate alarm. Unit is under warranty",0,50046000000rCKEAA2,RPP 1-2 has a comm alarm. BCMS 1-2. Customer is requesting a tech Visit to investigate alarm. Unit is under warranty ,True
800,"stand by service for Rackspace to do PMs on their UPS equipment.  

site
Digital Realty
DFW3 
1215 Integrity Drive
Richardson, TX  75081",0,50046000000rCKDAA2,"stand by service for Rackspace to do PMs on their UPS equipment. site Digital Realty DFW3 1215 Integrity Drive Richardson, TX 75081 ",True
801,"commissioning (2) PDUs, serial # 110-4542

site
Digital Realty
9355 W Grand Ave
suite 150/160
Franklin Park, IL  60131",0,50046000000rCNKAA2,"commissioning (2) PDUs, serial # 110-4542 site Digital Realty 9355 W Grand Ave suite 150/160 Franklin Park, IL 60131 ",True
802,Found Issue w/ monitor during PM,0,50046000000rCNAAA2,Found Issue w/ monitor during PM ,True
803,"PM on (24) STSs; 
Customer called in to report current reading issue on one circuit. Please note this is a repaired CT circuit using hot fix kit.",0,50046000000rCN7AAM,PM on (24) STSs; Customer called in to report current reading issue on one circuit. Please note this is a repaired CT circuit using hot fix kit. ,True
804,"Start up of 8 PDU's 350-0242 - all 8

Site:
ColorHub
2701 Devils Glen Rd
Bettendorf, IA  52722

Start up to be performed Tues, April 23.  
Time: 9:00am",0,50046000000rCN4AAM,"Start up of 8 PDU's 350-0242 - all 8 Site: ColorHub 2701 Devils Glen Rd Bettendorf, IA 52722 Start up to be performed Tues, April 23. Time: 9:00am ",True
805,"Scope:
To perform SU on (3) PDUs; 110-4491-1-3; SO24602

Site address:
Verizon
1525 NW 98th Ct.
Doral, FL

Contact:
Angel Munoz
Keylite Power & Lighting Corp.
305-232-9910 (o)
786-389-6429 (m)
or
Aldo Melgarejo
786-837-3630",0,50046000000rCLfAAM,"Scope: To perform SU on (3) PDUs; 110-4491-1-3; SO24602 Site address: Verizon 1525 NW 98th Ct. Doral, FL Contact: Angel Munoz Keylite Power & Lighting Corp. 305-232-9910 (o) 786-389-6429 (m) or Aldo Melgarejo 786-837-3630 ",True
806,"Scope:
To perform SU on (2) RPPs and (2) PDUs; 110-4215-12; 110-4215-16; SO20952; 180-2383-1-2; SO24589

To inspect (1) PDU with summary alarm; 110-3950; PDU 4-1A located in CR4; We did some digging around in our Building Automation System and discovered that this summary alarm has been coming in and out for quite a while now. The alarm may clear fast enough that our Building Automation System doesnít see it. This time it appeared that the alarm stood in this ëLow Frequencyî state long enough for our system to see it",0,50046000000rCLdAAM,Scope: To perform SU on (2) RPPs and (2) PDUs; 110-4215-12; 110-4215-16; SO20952; 180-2383-1-2; SO24589 To inspect (1) PDU with summary alarm; 110-3950; PDU 4-1A located in CR4; We did some digging around in our Building Automation System and discovered that this summary alarm has been coming in and out for quite a while now. The alarm may clear fast enough that our Building Automation System doesnít see it. This time it appeared that the alarm stood in this ëLow Frequencyî state long enough for our system to see it ,True
807,"Upgrade Dallas chips on 13 untis 

SN: 110-1955-1-13",0,50046000000rCLYAA2,Upgrade Dallas chips on 13 untis SN: 110-1955-1-13 ,True
808,"Scope:
Install QTY (1) Monitor (if needed for the repair). Troubleshoot downstream alarms; T10-37-US-S-0446.

Site address:
One Neck
10290 West 70th Street
Eden Prairie, MN 55344

Contact:
612-395-9073",0,50046000000rCLXAA2,"Scope: Install QTY (1) Monitor (if needed for the repair). Troubleshoot downstream alarms; T10-37-US-S-0446. Site address: One Neck 10290 West 70th Street Eden Prairie, MN 55344 Contact: 612-395-9073 ",True
809,Customer is requesting that we verify alarm thresholds,0,50046000000rCLWAA2,Customer is requesting that we verify alarm thresholds ,True
810,"Upgrade 4 units: 

- 400A SQD Panelboard 
- 400A SQD Main Breaker 
- Solid Core CTís to monitor new panelboard 
- Ribbon Cables 
- Wires/Connectors 
- Brackets 
- Door 


Site info: 
Ron Richardson 
509-630-5859 
4405A Grant Rd 
East Wenatchee, WA 
98802",0,50046000000rCLUAA2,"Upgrade 4 units: - 400A SQD Panelboard - 400A SQD Main Breaker - Solid Core CTís to monitor new panelboard - Ribbon Cables - Wires/Connectors - Brackets - Door Site info: Ron Richardson 509-630-5859 4405A Grant Rd East Wenatchee, WA 98802 ",True
811,Currently we have issue with the TX2&3 on  A1E1- 442-0048-13B> TX2 down in & out & TX3 is out. Please advise when a tech can be onsite to repair? TX2 was repaired on the 3-24-17Ö,0,50046000000rCOQAA2,Currently we have issue with the TX2&3 on A1E1- 442-0048-13B> TX2 down in & out & TX3 is out. Please advise when a tech can be onsite to repair? TX2 was repaired on the 3-24-17Ö ,True
812,"start up (2) PDUs serial # 110-4502

site
Citi Group Galleria
Partners Electric
2800 Post Oak Rd (may be 2700)
Houston, TX  77056",0,50046000000rCMnAAM,"start up (2) PDUs serial # 110-4502 site Citi Group Galleria Partners Electric 2800 Post Oak Rd (may be 2700) Houston, TX 77056 ",True
813,"Scope:
To inspect several RPPs with multiple comm alarms:
85A- Display
14D-com failure
39F- comm issue
8C - Touchpad
36E - Touchpad
29E - comm issue
30E- comm issue

Site address:
Oxmoor Data Center
4701 Lakeshore Pkwy
Birmingham, AL 35211

Site contact:
Josh Cagle
205-249-7874",0,50046000000rCLIAA2,"Scope: To inspect several RPPs with multiple comm alarms: 85A- Display 14D-com failure 39F- comm issue 8C - Touchpad 36E - Touchpad 29E - comm issue 30E- comm issue Site address: Oxmoor Data Center 4701 Lakeshore Pkwy Birmingham, AL 35211 Site contact: Josh Cagle 205-249-7874 ",True
814,Monitor failed. Needs to be replaced. Unit switched to source 2.,0,50046000000rCLGAA2,Monitor failed. Needs to be replaced. Unit switched to source 2. ,True
815,"intermittent main fan high alarm
451-0009-21B ( PDU O4Y-086)

site
Citigroup
931 Litsey Rd
Roanoke, TX",0,50046000000rCLFAA2,"intermittent main fan high alarm 451-0009-21B ( PDU O4Y-086) site Citigroup 931 Litsey Rd Roanoke, TX ",True
816,"SAS TX alarm

site
QTS
6431 Longhorn Drive
Irving, TX",0,50046000000rCLAAA2,"SAS TX alarm site QTS 6431 Longhorn Drive Irving, TX ",True
817,Units 9A & 9B are showing 520V,0,50046000000rCL4AAM,Units 9A & 9B are showing 520V ,True
818,"Scope:
Pulse gate driver replaced; 442-0089-12b",0,50046000000rCL3AAM,Scope: Pulse gate driver replaced; 442-0089-12b ,True
819,"The customer is having issues with the RPP total current. Total Amp Readings are erratic. We need to upgrade BCMS software to the latest C6.008
Site address:
Stream (Medtronic)
108 West Creek Lane
Chaska, MN 55318

Contact:
Peter McGurran
651-488-9343",0,50046000000rCKyAAM,"The customer is having issues with the RPP total current. Total Amp Readings are erratic. We need to upgrade BCMS software to the latest C6.008 Site address: Stream (Medtronic) 108 West Creek Lane Chaska, MN 55318 Contact: Peter McGurran 651-488-9343 ",True
820,"Problem with this unit returned for the 3rd time.

They are having problems with PDU breakers  tripping on STS, They need a tech to investigate issue.
451-0045-1B   PDU-04U-78

Site Address:
Citigroup
931 Litsey Road
Roanoke, TX 76262

Contact:
Wayne Kidd
817-837-7929 (o)
817-991-6156 (m)",0,50046000000rCKmAAM,"Problem with this unit returned for the 3rd time. They are having problems with PDU breakers tripping on STS, They need a tech to investigate issue. 451-0045-1B PDU-04U-78 Site Address: Citigroup 931 Litsey Road Roanoke, TX 76262 Contact: Wayne Kidd 817-837-7929 (o) 817-991-6156 (m) ",True
821,"The communications to our five A-side PDUs failed yesterday and we are unable to get them back on the network. We have tried everything possible on the BMS server side, but now think it is something within the PDUs comm cards or wiring.",0,50046000000rCKjAAM,"The communications to our five A-side PDUs failed yesterday and we are unable to get them back on the network. We have tried everything possible on the BMS server side, but now think it is something within the PDUs comm cards or wiring. ",True
822,"serial # 411-0095-1
TX-1 summary alarm that was cycling every 20 minutes or so.  After doing my usual troubleshooting process, which up to this point I was 100% successful, we now have the summary alarm locked in.  I have tried reseating and trimming the fiber along with using a new piece and I cannot get the alarm to clear.  I made sure the new piece of fiber was compatible by trying it on the RX-1 and it worked fine there

site
Sabey Data Center
12201 Tukwila International Blvd
4th Floor
Seattle, WA  98168",0,50046000000rCKfAAM,"serial # 411-0095-1 TX-1 summary alarm that was cycling every 20 minutes or so. After doing my usual troubleshooting process, which up to this point I was 100% successful, we now have the summary alarm locked in. I have tried reseating and trimming the fiber along with using a new piece and I cannot get the alarm to clear. I made sure the new piece of fiber was compatible by trying it on the RX-1 and it worked fine there site Sabey Data Center 12201 Tukwila International Blvd 4th Floor Seattle, WA 98168 ",True
823,"Start up (2) RPPs, 180-2382

Site address:
GCATS/Digital Realty Trust
1232 Alma Road, Suite 130
Richardson, TX 75081

Contact:
David Bonlie
972-965-7382",0,50046000000rCKZAA2,"Start up (2) RPPs, 180-2382 Site address: GCATS/Digital Realty Trust 1232 Alma Road, Suite 130 Richardson, TX 75081 Contact: David Bonlie 972-965-7382 ",True
824,"Time: 
8AM 

Site Address: 
44100 Digital Loudoun Plaza 
Suite J200 
Ashburn VA 20147 

Site Contact: 
Arnulfo Frias Jr. (JR) 
Office: (469)888-5609 
Mobile: (817)909-1369 

Scope: 
To perform SU on (4/1) RPPs; 180-2384-1-2; SO24603",0,50046000000rCKcAAM,Time: 8AM Site Address: 44100 Digital Loudoun Plaza Suite J200 Ashburn VA 20147 Site Contact: Arnulfo Frias Jr. (JR) Office: (469)888-5609 Mobile: (817)909-1369 Scope: To perform SU on (4/1) RPPs; 180-2384-1-2; SO24603 ,True
825,"PM on (1) unit, serial # 451-0023

Site
Verizon
2319 West Market St
Bloomington, IL  61704",0,50046000000rCMdAAM,"PM on (1) unit, serial # 451-0023 Site Verizon 2319 West Market St Bloomington, IL 61704 ",True
826,"PM on 26 STS

Site:
Dell (PC1)
1404 Park Center Drive
Austin TX  78753",0,50046000000rCMcAAM,PM on 26 STS Site: Dell (PC1) 1404 Park Center Drive Austin TX 78753 ,True
827,"troubleshoot communication issue (lost BCMS comm) with PDU 110-0420 
110-0420

site
Verizon
400 International Pkwy
Richardson, TX  75081",0,50046000000rC4kAAE,"troubleshoot communication issue (lost BCMS comm) with PDU 110-0420 110-0420 site Verizon 400 International Pkwy Richardson, TX 75081 ",True
828,"Onsite switch training

site
Digital Realty
4849 Alpha Rd
Farmers Branch, TX  75244",0,50046000000rC4jAAE,"Onsite switch training site Digital Realty 4849 Alpha Rd Farmers Branch, TX 75244 ",True
829,"standby support while Rackspace does their UPS mainentance

site
Rackspace
suite 150 & 160
1232 Alma Rd
Richardson, TX",0,50046000000rC4aAAE,"standby support while Rackspace does their UPS mainentance site Rackspace suite 150 & 160 1232 Alma Rd Richardson, TX ",True
830,"standby support while the whole system is being tested, UPS and Static switch

site
TI Corp / GE account
13131 West Little York Rd
Houston, TX 77041",0,50046000000rC4XAAU,"standby support while the whole system is being tested, UPS and Static switch site TI Corp / GE account 13131 West Little York Rd Houston, TX 77041 ",True
831,"they have a series of endfeeds daisy chained together that have lost comms.

sie
Fidelity 
11050 Cornhusker Rd
Papillion, NE",0,50046000000rC4GAAU,"they have a series of endfeeds daisy chained together that have lost comms. sie Fidelity 11050 Cornhusker Rd Papillion, NE ",True
832,to investigate a SA Low Voltage Alarm,0,50046000000rC4BAAU,to investigate a SA Low Voltage Alarm ,True
833,"Scope:
To perform SU on (4) RPPs; 186-0180-1-4; SO23381",0,50046000000rC49AAE,Scope: To perform SU on (4) RPPs; 186-0180-1-4; SO23381 ,True
834,"start up (1) PDU, serial # 110-4486.
This is a start up for GE.  You will need to represent your self as being there to start up the unit for GE.  Do not wear a PDI shirt.

site:
West America Ban Corp
4560 Mangels Blvd
Fairfield, CA  94534",0,50046000000rC3yAAE,"start up (1) PDU, serial # 110-4486. This is a start up for GE. You will need to represent your self as being there to start up the unit for GE. Do not wear a PDI shirt. site: West America Ban Corp 4560 Mangels Blvd Fairfield, CA 94534 ",True
835,"Scope:
Troubleshoot and inspect PDU with an A phase 0 reading. Install QTY (1) data acquisition card as needed.

Site address:
Digital Realty Trust
12231 N. Freeway
Houston, TX 77067

Contact:
Chris Schmidt
832-517-5065",0,50046000000rC3wAAE,"Scope: Troubleshoot and inspect PDU with an A phase 0 reading. Install QTY (1) data acquisition card as needed. Site address: Digital Realty Trust 12231 N. Freeway Houston, TX 77067 Contact: Chris Schmidt 832-517-5065 ",True
836,"start up (16) PDUs , serial # 110-4432

site
Digital Realty
suite 110 / 120
907 Security Row
Richardson, TX",0,50046000000rC3uAAE,"start up (16) PDUs , serial # 110-4432 site Digital Realty suite 110 / 120 907 Security Row Richardson, TX ",True
837,"PDU training

site:
1st Bank",0,50046000000rC3tAAE,PDU training site: 1st Bank ,True
838,"start up (3) PDUs, serial # 110-4370

site
CGG Veritas
10300 Towne Park Drive
Houston, TX  77072",0,50046000000rC3vAAE,"start up (3) PDUs, serial # 110-4370 site CGG Veritas 10300 Towne Park Drive Houston, TX 77072 ",True
839,"customer having issues with the calibration on the busway product.
need to calibrate the end feeds

site 
General Mills 
Egan - JFB Data Center 
9000 Plymouth Ave N 
Golden Valley, MN 55427 

contact 
Tony Leither 
612-328-2926",0,50046000000rC5iAAE,"customer having issues with the calibration on the busway product. need to calibrate the end feeds site General Mills Egan - JFB Data Center 9000 Plymouth Ave N Golden Valley, MN 55427 contact Tony Leither 612-328-2926 ",True
840,"customer is requesting that we install an M4 display on a PDU, serial # 110-1991.  The customer has the board in their spare parts.

site
Digital Realty
2055 E Technology Circle
Tempe, AZ  85284",0,50046000000rC5fAAE,"customer is requesting that we install an M4 display on a PDU, serial # 110-1991. The customer has the board in their spare parts. site Digital Realty 2055 E Technology Circle Tempe, AZ 85284 ",True
841,"RPP comm issue

site
Trans Union
555 W Adams
Chicago, IL  60661",0,50046000000rC5dAAE,"RPP comm issue site Trans Union 555 W Adams Chicago, IL 60661 ",True
842,"customer has lost network connectivity on the PDUs.  

site
NBC Universal
Universal City, CA",0,50046000000rC5bAAE,"customer has lost network connectivity on the PDUs. site NBC Universal Universal City, CA ",True
843,"Scope:
To perform SU on (8) PDUs; 110-4427-1-8; SO23587",0,50046000000rC5aAAE,Scope: To perform SU on (8) PDUs; 110-4427-1-8; SO23587 ,True
844,2 units has SAS fuse alarms after site had a high resistance ground fault,0,50046000000rC5VAAU,2 units has SAS fuse alarms after site had a high resistance ground fault ,True
845,"calibrate (4) RPPs

site
Digital Realty
12031 N Freeway
Houston, TX  77067",0,50046000000rC5HAAU,"calibrate (4) RPPs site Digital Realty 12031 N Freeway Houston, TX 77067 ",True
846,Unit is getting intermittent communication alarms,0,50046000000rC5FAAU,Unit is getting intermittent communication alarms ,True
847,"screen on the RPP is frozen.  Troubleshoot serial # 180-2236-10

site
Windstream Hosted Solutions
9333 West Grave Ave
suite 120
Franklin Park, IL  60131",0,50046000000rC5EAAU,"screen on the RPP is frozen. Troubleshoot serial # 180-2236-10 site Windstream Hosted Solutions 9333 West Grave Ave suite 120 Franklin Park, IL 60131 ",True
848,STS has 3 different SAS alarms and needs to have a tech take a look at it,0,50046000000rC59AAE,STS has 3 different SAS alarms and needs to have a tech take a look at it ,True
849,"Reuse the (4) side cars that were removed from other units (110-4429) and mount them on to the 4 units with serial #110-4067.  side car upgrade kits have been shipped to the site to be used.
You will also need to start up the 4 units as well.

site
Stream
9550 Westover Hills Blvd
San Antonio, TX  78251",0,50046000000rC54AAE,"Reuse the (4) side cars that were removed from other units (110-4429) and mount them on to the 4 units with serial #110-4067. side car upgrade kits have been shipped to the site to be used. You will also need to start up the 4 units as well. site Stream 9550 Westover Hills Blvd San Antonio, TX 78251 ",True
850,"SAS TX alarm
411-0148-6",0,50046000000rC51AAE,SAS TX alarm 411-0148-6 ,True
851,Customer has SAS D Voting Alarm & SAS Fiber 1 Rx alarm,0,50046000000rC4yAAE,Customer has SAS D Voting Alarm & SAS Fiber 1 Rx alarm ,True
852,"Scope of Work
To perform PM on (2) STSs
411-0166-1-2.

Site address:
First Energy Corporation
Akron Control Center
885 Mull Avenue
Akron, OH 44313

Contact:
Mike Kundmueller
216-973-8299",0,50046000000rC3rAAE,"Scope of Work To perform PM on (2) STSs 411-0166-1-2. Site address: First Energy Corporation Akron Control Center 885 Mull Avenue Akron, OH 44313 Contact: Mike Kundmueller 216-973-8299 ",True
853,"in order to get the revnue on the RPPs, T. Kritzell approved for the units to be shipped without the breakers.  The breakers were shipped after the fact.  Capital Electric would like the breakers installed ahead of time.

site
Capital Electric
c/o AT&T
5400 Foxridge Drive
Mission, KS 66202",0,50046000000rC3oAAE,"in order to get the revnue on the RPPs, T. Kritzell approved for the units to be shipped without the breakers. The breakers were shipped after the fact. Capital Electric would like the breakers installed ahead of time. site Capital Electric c/o AT&T 5400 Foxridge Drive Mission, KS 66202 ",True
854,"troubleshoot comm 1 issue on PDU
T15-17-US-S-2145

site:
site 
Edge Connex - Burr 
1510 Primwest Parkway 
Katy, TX 77449",0,50046000000rC3jAAE,"troubleshoot comm 1 issue on PDU T15-17-US-S-2145 site: site Edge Connex - Burr 1510 Primwest Parkway Katy, TX 77449 ",True
855,Adjust RPP settings for new BMS system,0,50046000000rC3hAAE,Adjust RPP settings for new BMS system ,True
856,"color display has gone bad in RPP, serial # 180-2336-18


site
Digital Realty
907 Security Row
suite 160
Richardson, TX  75081",0,50046000000rC3gAAE,"color display has gone bad in RPP, serial # 180-2336-18 site Digital Realty 907 Security Row suite 160 Richardson, TX 75081 ",True
857,"start up (2) RPPs serial # 180-2345

site:
Digital Realty
12245 N Freeway
Houston, TX  77060",0,50046000000rC3eAAE,"start up (2) RPPs serial # 180-2345 site: Digital Realty 12245 N Freeway Houston, TX 77060 ",True
858,"troubleshoot / repair high dist 1 amp A alarm on STS, serial # 442-0119

site
T5
6653 Pinecrest Drive
Plano, TX  75024",0,50046000000rC3dAAE,"troubleshoot / repair high dist 1 amp A alarm on STS, serial # 442-0119 site T5 6653 Pinecrest Drive Plano, TX 75024 ",True
859,"Preventative Maintenance on (2) PDUs, serial # 110-4075

site
Chevron North American Data Ctr
5200 Rogers Rd
San Antonio, TX  78251",0,50046000000rC4wAAE,"Preventative Maintenance on (2) PDUs, serial # 110-4075 site Chevron North American Data Ctr 5200 Rogers Rd San Antonio, TX 78251 ",True
860,PDU 25 transferred to alternate source; no indication as to why; alarms are cleared,0,50046000000rC4uAAE,PDU 25 transferred to alternate source; no indication as to why; alarms are cleared ,True
861,"IST of 24 PDUs.
110-4451

Site Address:
State Farm Project Vortex
24400 W. Valley Pkwy
Olathe, KS 66061

Contact:
Jenny Kitsch
913-489-8016 (o)
616-881-9145 (c)",0,50046000000rC4tAAE,"IST of 24 PDUs. 110-4451 Site Address: State Farm Project Vortex 24400 W. Valley Pkwy Olathe, KS 66061 Contact: Jenny Kitsch 913-489-8016 (o) 616-881-9145 (c) ",True
862,"Start-up 1 PDU 110-4461.

Site Address:
KVA Power
Bldg. 2187 @ Nas Patuxent River
Patuxent River Nas, MD 20670

Contact:
Ed Alvey
301-481-3409",0,50046000000rC4rAAE,"Start-up 1 PDU 110-4461. Site Address: KVA Power Bldg. 2187 @ Nas Patuxent River Patuxent River Nas, MD 20670 Contact: Ed Alvey 301-481-3409 ",True
863,"Scope:
To inspect and repair SAS alarm on (1) STS; ìSAS Tx 3 Downî and ìSummary.î STS alarms, clears, and then alarms again after a few seconds. No other issues observed; 411-0247-128; STS-C20-3",0,50046000000rC4oAAE,"Scope: To inspect and repair SAS alarm on (1) STS; ìSAS Tx 3 Downî and ìSummary.î STS alarms, clears, and then alarms again after a few seconds. No other issues observed; 411-0247-128; STS-C20-3 ",True
864,"standby support while Rackspace does their UPS mainentance

site
Rackspace
1215 Integrity Drive
Richardson, TX",0,50046000000rC4nAAE,"standby support while Rackspace does their UPS mainentance site Rackspace 1215 Integrity Drive Richardson, TX ",True
865,EPO cover on unit was broken allowing the door guide on the inside of the door to activate the button causing the unit to drop load during commissioning. All units on this order have the potential for this to happen as there is not a lot of clearance between the door guide and the EPO button.,0,50046000000rC62AAE,EPO cover on unit was broken allowing the door guide on the inside of the door to activate the button causing the unit to drop load during commissioning. All units on this order have the potential for this to happen as there is not a lot of clearance between the door guide and the EPO button. ,True
866,Troubleshoot/Repair PDU M4 Fatal Error 17 alarm,0,50046000000rC61AAE,Troubleshoot/Repair PDU M4 Fatal Error 17 alarm ,True
867,"Bad AC Pulse Gate board and customer opened S1 breaker. Replaced AC pulse board.
Unit is back online, customer good to go",0,50046000000rC5zAAE,"Bad AC Pulse Gate board and customer opened S1 breaker. Replaced AC pulse board. Unit is back online, customer good to go ",True
868,"need to look at units to determine how the unit is set up for communications.


site
ExxonMobil
2993 Irving Blvd
Dallas, TX  75247

contact
Mike Cook
972-979-8117",0,50046000000rC5xAAE,"need to look at units to determine how the unit is set up for communications. site ExxonMobil 2993 Irving Blvd Dallas, TX 75247 contact Mike Cook 972-979-8117 ",True
869,"issue with the outer covers on the PDUs.  will need to replace them.

Site address:
JMEG, LP
15000 IH 10 W
San Antonio, TX 78249

Contact:
Ron Hayes
210-669-2515",0,50046000000rC5tAAE,"issue with the outer covers on the PDUs. will need to replace them. Site address: JMEG, LP 15000 IH 10 W San Antonio, TX 78249 Contact: Ron Hayes 210-669-2515 ",True
870,"ï         Open items Pod B (SAS and Monitor replacement)
ï         Missed (1) STS PM
ï         WA items in Pod D; A11C1
Serial: 442-0163-24b
Model:  STS-SBR-STD-2-480-400-60-1-WS-PM-1-BE; Bad Monitor",0,50046000000rC5lAAE,ï Open items Pod B (SAS and Monitor replacement) ï Missed (1) STS PM ï WA items in Pod D; A11C1 Serial: 442-0163-24b Model: STS-SBR-STD-2-480-400-60-1-WS-PM-1-BE; Bad Monitor ,True
871,"need to troubleshoot and repair fan logic issue . serial # 411-0112-24

site
Ascent
suite 400
505 N Railroad
Northlake, IL",0,50046000000rC5rAAE,"need to troubleshoot and repair fan logic issue . serial # 411-0112-24 site Ascent suite 400 505 N Railroad Northlake, IL ",True
872,Replace 2 BCMS boards in existing JComm units.,0,50046000000rC5sAAE,Replace 2 BCMS boards in existing JComm units. ,True
873,"troubleshoot  SAS TX3 down alarm and a summary alarm on swtich
serial # 411-0221-6  (160505CP5)

site
Cyrus One
1653 W Frankford Rd
Carrollton, TX",0,50046000000rC6NAAU,"troubleshoot SAS TX3 down alarm and a summary alarm on swtich serial # 411-0221-6 (160505CP5) site Cyrus One 1653 W Frankford Rd Carrollton, TX ",True
874,"start up (2) PDUs, serial # 110-4542

site
Digital Realty
9355 W Grand Ave
suite 150/160
Franklin Park, IL  60131",0,50046000000rC6LAAU,"start up (2) PDUs, serial # 110-4542 site Digital Realty 9355 W Grand Ave suite 150/160 Franklin Park, IL 60131 ",True
875,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,0,50046000000rC6JAAU,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003 ,True
876,"Time:
10AM

Scope:
To inspect and repair (1) STS; SAS TX 1 Down alarm Serial # 411-0166 Job # 21251  Alarms keep coming in and out constantly

Site Address: 
First Energy
885 MULL AVENUE 
(or gate north of 253 White Pond Drive) 
Akron, OH 44313 

Site Contact:
Mike Kundmueller
216-973-8299",0,50046000000rC6SAAU,"Time: 10AM Scope: To inspect and repair (1) STS; SAS TX 1 Down alarm Serial # 411-0166 Job # 21251 Alarms keep coming in and out constantly Site Address: First Energy 885 MULL AVENUE (or gate north of 253 White Pond Drive) Akron, OH 44313 Site Contact: Mike Kundmueller 216-973-8299 ",True
877,"Time:
11AM

Scope:
To visually verify where the contractor board is located on the STS; Once located, show customer where he needs to connect his remote communications to.

Site address:
MIT- Lincoln Labs
244 Wood Street
Building J
Lexington, MA  02420

Contact:
Op Center
781-981-2083",0,50046000000rC6RAAU,"Time: 11AM Scope: To visually verify where the contractor board is located on the STS; Once located, show customer where he needs to connect his remote communications to. Site address: MIT- Lincoln Labs 244 Wood Street Building J Lexington, MA 02420 Contact: Op Center 781-981-2083 ",True
878,"Scope: 
calibrate branch circuits on some units


Site address:
Visa
8906 S. Ridgeline Blvd
Highland Ranch, CO 80129

Contact:
720-273-4705",0,50046000000rC6IAAU,"Scope: calibrate branch circuits on some units Site address: Visa 8906 S. Ridgeline Blvd Highland Ranch, CO 80129 Contact: 720-273-4705 ",True
879,"start up (2) PDUs, serial # 110-4513

site
Digital Realty
9355 W Grand Ave
suite 150/160
Franklin Park, IL  60131",0,50046000000rC6HAAU,"start up (2) PDUs, serial # 110-4513 site Digital Realty 9355 W Grand Ave suite 150/160 Franklin Park, IL 60131 ",True
880,"preventative maintenance of 1 PDU, serial # 110-1083

site:
Yavapai Regional Medical Center
1003 Will Creek Rd
Prescott, AZ  86301",0,50046000000rC6GAAU,"preventative maintenance of 1 PDU, serial # 110-1083 site: Yavapai Regional Medical Center 1003 Will Creek Rd Prescott, AZ 86301 ",True
881,"surge capacitor blew up.  need to remove the cap and restart the unit. serial # 110-2726-2

site
Walgreens
1084 Mt Prospect Plaza
Mount Prospect, IL 60056

contact
Dan Burns",0,50046000000rC6FAAU,"surge capacitor blew up. need to remove the cap and restart the unit. serial # 110-2726-2 site Walgreens 1084 Mt Prospect Plaza Mount Prospect, IL 60056 contact Dan Burns ",True
882,"another STS which is issuing the dreaded SAS Tx3 communications alarms we have seen in the past on the other units. The last time Lori was here, I believe she went through them all and took care of cleaving the fiber optic cabling, but this one is issuing the alarm regardless.
we have another STS (Unit D3-A) that is also currently not in alarm, but has just recently exhibited similiar behavior.",0,50046000000rCFYAA2,"another STS which is issuing the dreaded SAS Tx3 communications alarms we have seen in the past on the other units. The last time Lori was here, I believe she went through them all and took care of cleaving the fiber optic cabling, but this one is issuing the alarm regardless. we have another STS (Unit D3-A) that is also currently not in alarm, but has just recently exhibited similiar behavior. ",True
883,Unit has SAS Rx1 alarm,0,50046000000rCFZAA2,Unit has SAS Rx1 alarm ,True
884,"Scope:
RPP 3A05?2; 180?0789?61; The display has some issues where itís giving false current readings; They claim they have the correct parts on site and wish to not purchase any at this time",0,50046000000rCFzAAM,Scope: RPP 3A05?2; 180?0789?61; The display has some issues where itís giving false current readings; They claim they have the correct parts on site and wish to not purchase any at this time ,True
885,Monitors giving scrolling characters,0,50046000000rCFvAAM,Monitors giving scrolling characters ,True
