,SerialNumber
1008,Customer has found (2) two more defective Load Bank TOBs (Part#13404610). Will need to return for repair/replacement 
1009,No display 
1010,"replace display on switch that the screen is fading and hard to read on two STS 411-0112-1 & 411-0112-5 SAS TX3 alarm on 411-0112-10 site Ascent suite 400 505 N Railroad Northlake, IL "
1011,CB 5 reading 185 amps not the phase reading 185 volts 
1012,CT strip is bad 
1013,"customer has a broken CT on their CT strip. see picture serial # 112-0088 site IBM 11501 Burnet Rd Austin, TX 78758 "
1014,"install SAS brackets, replace SAS board and PM 24 STs site CyrusOne 2905 Diehl Rd Aurora IL "
1015,customer is sending back 16 TOBs to be upgraded Upgrade each TOB with: 2 pole breaker L6-20 receptacle Sheet meta customer is paying for the upgrade site NiSource (Emcor) Hammond IN 
1016,"L3 amps high alarm M4 - PDU, serial # 120-0049 site Blue Cross Blue Shield of TX 4242 Sunset Drive San Angelo, TX 76904 "
1017,Customer is requesting to have these spare parts replaced. 
1018,"monochrome display failed on PDU. This was found during the PM site Ford Motor Rotundra Dr Dearborn, MI "
1019,"replace pulse boards in 7 STS site Oglethorpe Power 2100 East Exchange Place Bldg 2 Tucker, GA 30084 "
1020,"troubleshoot SAS TX alarm on STS, serial # 411-0259 site Carle Foundation Hospital 502 North Busey Street Urbana, IL 61801 "
1021,"During commissioning of Primary Systems, customer was performing POG Mode transfers and observed an ""arc flash"" event and a molded case switch opened. This happened on both STS being commissioned over the weekend. Pulled two replacement 600A ABB MCSs from other units scheduled for startup later this week to repair units. "
1022,"Two CT strips are broken site T5 Plano 6653 Pinecrest Dr Plano, TX "
1023,Main is reading amps and KWH but apparently sub feeds are not reading. 
1024,From Customer: PDU-2D3 experienced an arc flash incident at the input breaker. Section will need to be replaced and the PDU retested. 
1025,shipment of breakers were lost by UPS for about 3 weeks. They finally found them. A new order was generated and shipped to the customer. return these breakers to stock site Firmesa Ecuador 
1026,"open item from start up - serial # 112-0086-4 needs display battery needs new PCB18959 Rev 1 (kit 1808 sn 1389) need new EPO button with wiring site DISA 3990 East Broad St / Bldg 23 Columbus, OH "
1027,Third party - Empire went to perform service work and found a bad board. Replaced with another board on site. Empire is shipping back the bad board and we are shipping a new one to cyrus. Please see report and pictures. 
1028,"TOB has a broken slide locking mechanism A51-0626-16 & (1) serial # TBD site Arvest 1848 dodson Rd Rogers, AR 72758 "
1029,PDU-C25-5 - False EPO Alarm 
1030,"Two units found to have had communication errors present. they had to reboot the interior control board to fix that. the display was ok. See attached pictures I took of each display. One just had frozen data on the BCMS side, and one had frozen data on the entire panel. I believe there are still some internal communications that are not error trapped for with the automatic ìrebootî code that was added 8 units site IBM Cloud (DFW12) c/o Digital Realty 907 Security Row Richardson, TX 75081 "
1031,One of the B Phase buss fingers was found loose and is stripped out and the circuit position cannot be used. 
1032,BUILDING	ASSET	Location	Serial #	Alarm CU1				 				 				 				 CU2	A1D1	South wall 2	442-00448-20A	SAS D Voting Alarm when in second source 	E2B2	South wall 1	442-0048-26a 	Not reading the branch panels from display 	E1B1	Front Wall 2	442-0048-23a 	Not reading the branch panels from display 	E2C2		442-0060-16B	Voltage Issue CU3	A22B2	Back side	L08-10055	Sas down tx2 	C21A2	Front side	442-0150	SAS down tx2 SAS 1 IN Control 	B22A2	46	442-0058-11B	Switchstate Alarm 
1033,"rework TOB at customer expense. upgrading to: Qty 42 REC57645 2P, 30A, 12AWG, FM NEMA, L6-30, IG Qty 42 MOD15465 ASY, Isolated Gnd, CMP "
1034,"This morning during the scheduled UPS/Rotary Power Systems (RPS) Diesel Engine run testing, one of the PDU units ñ PDU 7 experienced an alarms; 1)	Shunt trip FAIL 2)	EPO Latched BAD 3)	PDU 7 automatically transferred from Source 1/preferred to Source 2/alternate After the 1-hour RPS Diesel Engine run testing and completed; I tried to clear the alarm, but after pressing CLR, it went to SWITCH & LOCK BAD I believed that this value is, if one of the SCR detected opened, the PDU will transfer to the other source and will lock in there? The current status of PDU 7 is lock on alternate source, Source 2 at this time and still online. "
1035,Upgrade 8 units with 400A breakers to 600A breakers . 
1036,"unit is no longer communicating site Stream 9550 Westover Hills San Antonio, TX "
1037,SAS TX2 Down Alarm 
1038,See attached pic's for PDU 2-2-A2 with alarms on display. Looks like the board has problem to identify phase A -voltage; CUSTOMER: IBM Site address: 245 Consumers Road Toronto 
1039,These were ordered by the customer and built incorrectly. They want to ship them back. Please see attachments 
1040,"troubleshoot 2 STS fluctuating voltage readings on one unit. alarms and an output short on another unit. site GE Digital Gov Hill DC 8700 Governor's Hill Dr Cincinnati, OH "
1041,"STS display has no yellow line on front SAS board had a SAS DDC alarm site CyrusOne 229 W. Seventh St Cincinnati, OH 45201 "
1042,"investigate failure of pulse gate driver board over time. T5 has had an alarming number of failures recently. One thing of note, each PGDB we have replaced has had heavy discoloration (due to heat) on the S1 heat sink (see attached photo). I took this picture from an offline SPDU in DH5. This one has not been online as long as the ones in DH 1, 2, or 3, but you can see the discoloration. The Source 2 heat sink has none (see attached photo) PCB11639 site T5 6653 Pinecrest Dr Plano, TX "
1043,"12 ft rail is bent and on the busway end of the rail, the bars have a gummy residue on them. site Stream San Antonio, TX "
1044,"need a new color touch screen display not a comm board. Their BMS is not communicating to the PDU. They are using Cat5 and communicating through ethenet. No recent work was done, it just all of a sudden went out. They restarted the display several times with no luck. They will try a few other things and see if it fixes it. But they may end up ordering a new display. "
1045,"I know Thun just came out to the site for repairs, however two of the ones that he was onsite for went back into alarm. Please see the below list. As well could I get a follow up from when Eli was onsite performing his last repairs. There was a jcomm board that was giving erroneous readings and Eli was going to discuss what we could do to get the correct readings from the board/RPP. A1E1: TX down (442-0048-13B) C2D2: TX Down (442-0048-21A) E2D2: TX Down (442-0060-2B) "
1046,"broken CT strip site Compas Datacenters 816 Allen Com Pkwy Allen, TX "
1047,"need to upgrade 3 STS units, serial # 411-0277 from 400A breakers to 600A breakers. Also, install upgraded SAS boards and brackets site QTS 6431 Longhorn Dr Irving, TX "
1048,"cannot clear SAS alarms on STS. will need a monitor and SAS board site Bank of the West 13505 California Omaha, NE "
1049,"faulty screen on STS DH3 14017300 DH4 411-0247 411-0247-21 site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
1050,"Troubleshoot SAS D SCR 1 DC alarm on STS serial # 442-0136-6 (A4) site Digital Realty suite 260 9333 Grand Ave Franklin Park, IL 60131 "
1051,"STS display found to be not functioning properly serial # 411-0317 site Data Foiundry 4100 Smith School Rd Austin, TX "
1052,"PDU 59 has a bad display. Lines going thru display. Unit was started Dec 2018 See picture 	 452-0061-1 site Wells Fargo 101 Leaf Lake Birmingham, AL "
1053,"RPP F4-2-1/2 is not communicating with NEO. Thun's troubleshooting directions: Check communication wiring first, check setup, replace monitor if needed "
1054,"Physical damage of breaker - unit was overheated. Customer needs RMA to ship back and investigate causes. See pictures below for damage. On April 8th Mark Czarniak the Director of Client Power & Electrical Install sent an email in reference to a circuit breaker that had melted in a PDI PDU. Markís email states, ìSince the hot spot was on the ìCî phase line side, the only place torqueing could have possibly come into play is where the base is bolted to the bussing, or possible something inside either the breaker or base. This was abrand-new feeder install, with a breaker from this 2012 era newly installed in this particular position, unused previously taken from a different breaker slot in this unit. The breaker seemed to be seated correctly with the screws holding the breaker to the base secured, but it is unknown if this may have played a factor in all this or not. Upon loosening the bolts securing the base to the bussing nothing abnormal was noticed. Everything energized with no issues initially when first commissioned and energized on 3/25/19. The customer went under load on 4/6/19 around 10pm, and between 3am and 4am on 4/7/19 there was a noticeable smell of burning plastic which brought this issue to light.î Switch returned breaker which was received on May 22nd (Square D DGN36400E20) from unit T12-18-US-S-0826 for a Root Cause Investigation due to the breaker melting on-site. "
1055,"Customer is shipping back a bad RPP main breaker back along with the PDU output breaker from last week, and needs a replacement RPP main for the one that failed on the C phase after initial energizing. "
1056,Spare parts replacement for recent order - client claims board would not accept programming so ordering pre-programmed. 
1057,Customer received two extra link logic boards that they do not need. They are returning on RMA 4914 
1058,TEST 
1059,They need a service tech to come look at the display cables and examine the PDU as a whole. 
1060,quoted and sold costumer solid core but needed split core 
1061,Unit 2 giving communication issues 
1062,"Six 30Amp boxes need a new board Ibus & CP IO baord , PCA32106 boxes have hight current readings with no load everthing is plugged in properly. site Netrality 210 N Tucker St Louis, MO "
1063,"board purchased by Continental Electric for Serverfarm did not work when they installed it site Serverfarm Chicago, IL "
1064,"Units are being started up in bypass mode. Once the technician closes bypass, the LED's go out on power source. "
1065,"breaker failed testing on site. were not able to push current thru B phase. see test report serial # T18-04-US-S-4017 site QTS 6431 Longhorn Dr Irving, TX "
1066,"Out of the thirty-six (36) PDU's received, eight (8) units were shipped with the incorrect trip unit. All units should have had CKB54147T, 3P, 400A, 66k/208V, SQD, 100% line test, SQD P/N = LGP36400CU31X. This breaker has a 3.3 programmer. Eight of the units have SQD P/N LGP36400CU33X. This breaker has a 3.3s programmer. the PDI part number is CKB57157. "
1067,Busbars do not line up correctly - pictures attached 
1068,CT showing zero amps on A phase I/O board not communicating with the monitor 
1069,"PDI Shipped 16"" floor stands - Customer was supposed to receive 24"" "
1070,"The customer ordered one 68"" rail and one 66"" rail on this order. PDI shipped two 68"" rails, even though the order was entered correctly. Need to return one 68"" rail and place an order for the 66"" that the customer needs. site Emcor- Hyde Electric NiSource - phase 3 Hammond, IN "
1071,"RPP arrived with broken screen. it was notied when they unwrapped it RPP 189-0065 site Stream 9550 Westover Hills San Antonio, TX "
1072,"Shipment of 104 busway end feed CTs arrived and customer says they appear to be used. Reviewing the pictures it would appear that they possibly were not packaged properly and were damaged. Confirmed with customer that CTs were tie wrapped together in groups of (4) but had no protective wrapping at all, just thrown together in box, no bubble wrap at all in box. Pictures attached to case. "
1073,"Customer ordered 18"" Floorstands. Order was entered and shipped as 36"" floorstands. "
1074,re-routing cabling of the 750 kva PDUs site CyrusOne 2300 Chelsea Blvd Allen TX 75013 
1075,"Customer requested horizontal boxes. Order form states horizontal, however, we built vertical boxes A51-0818-97-112 site Netrality 210 N Tucker St Louis, MO "
1076,"troubleshoot blank screen on PDU. Also calibrate last two units started up site Satellite Svs Lackland AFB - DISA San Antonio, TX "
1077,There is an issue with the braised connections that cannot be fixed in the field. 
1078,"subfeed BCMS board was damaged in one of the units. the connector broke off. see picture site Serverfarm 840 S Canal St Chicago, IL 60607 "
1079,factory did not wire up voltage relays. pictures attached 
1080,From Sean: We have qty (7) dual TOBís that are defective and need to come back to the factory to be reworked as soon as possible. Please issue RM to Ryan at Encore below. The main issue is a broken cam rod. 
1081,"Inrush occurs when powering up source one. after troubleshooting, it was determined that the STS display is not functioning properly and / or the pulse gate driver board. site Stream 1813 Lookout Dr Garland, TX "
1082,"During start up of PDUs, one infinity display was not working properly. Our technician borrowed one from a future unit and we need to replace it. The technician kept the SD card, so we only need to replace the display. serial # 112-0086 site DISA Columbus, OH "
1083,"Customer reported that TOBs are built incorrectly. System voltage is 208/120. Customer requested a 250V rated receptacle expecting to receive a 208V (Line-Line) receptacle and what was built was a line to neutral 120V using a single pole breaker. TOBs will need to be reworked to replace single pole with double pole, and white neutral wire replaced with a phase wire to receptacle. Error occurred on front end with misunderstanding of customer's request. "
1084,"a bolt fell out of the metal bracket attached to the top of the reactor coils. During shipping the parts moved around and there is damage inside the unit. see pic site Facebook - ATN1D (Siculus) 100 Share Way NW Altoona, IA "
1085,"couplers did not fit correctly for the 800 amp bus. Supposedly this is a known problem. yet part number for correct couplers is the same part #. site TD Ameritrade 1811 E Renner Rd Richardson, TX 75082 "
1086,"Engineering's drawings show that there are CTs on the mains of the panelboards, but we did not build the units that way, and we did not configure the Infinity system for the main CT. "
1087,B-phase flex bus connection was loose at connection to vertical bus bar and overheated during loadbank testing causing a failure. picture attached 
1088,Various issues. List attached. 
1089,Robert Kong called John this morning to say that three of the PDUs downstairs at Kincora have been determined to be unusable. The transformers appear to have shifted during shipping/handling so much that the neutral bar is now bent and touching the coils of the transformer. They are going to pull these (3) units and will be looking to get these replaced/repaired. I believe they plan to pull (3) from another area to continue with the data hall they are in. 
1090,"during start up found the following: 1.	RPP S/N 12017001-1049: Channels 9,11& 25 read 0 with load. I tried to calibrate but remained 0. I swapped the ribbon cables at the CT board and the problem moved to the even numbers 10, 12 and 24. 2.	RPP S/N 12017001-999: Channel 1 and 6 read 0 3.	RPP S/N 12017045-69: Channel 42 Panel 1 reads 0 4.	RPP S/N 12017045-78: Channel 23 Panel 2 reads 0. 5.	RPP S/N 12017045-72: Channel 36 and 42 reads 0. "
1091,"order entry error was made. customer received a left starter rail but needed the right rail. site American Airlines 4440 American Blvd Ft Worth, TX 76155 "
1092,SN# 14400004-139B - pinched CT wire SN# 14400004-178B - needs replacement SAS board SN# 14400004-184B - needs replacement SAS board 
1093,CT's not reading current 
1094,"Breaker failed during startup at CPG warehouse The breaker will not reset every time. Breaker housing looks cracked. site Capital Power 21000 Ashburn Crossing Dr Ashburn, VA "
1095,Customer was having issues with (2) TOBs engaging and requiring excessive amount of force to slide the knob all the way over. Has now determined that cams are broken on these two units. Also one receptacle in one of the same units has an issue that will not allow the plug to be inserted into it. Customer would like to return both for a quick turnaround repair. Also looking for (4) additional TOBs that they had ordered for the project on a change order. Would like to have those TOBs in hand this week during installation. 
1096,"Team, Anthony gave me a heads up that Switch received 3 PDU top hat upgrades. They expected one Blue, one Red and one Grey one. They received 3 Grey Top Hats. I did a quick investigation and determined that the quote specifies a serial number 98-90596-12G. No color is actually specified but the G on the serial number stands for Grey and the quantity is 3 so it explains why we shipped 3 Grey Top Hats to Switch. Can we fix this by sending a Blue and a Red Top Hat to Switch pronto? "
1097,Two TOBs with broken tabs. Rework and return to customer. 
1098,"From Customer: During testing of the PDUís we have one red PDU that blows the incoming panels fuses, once the main breaker is closed and all other breakers are open. Illustration below. The only difference if found between this PDU and the already tested PDU was the resistance reading on the terminal block thatís on the transformer. I attached pictures of the readings. I pulled the red wire off and the red wires have the different readings, not the terminal block. That read wire goes to TB 9 above the circuit cards. I donít have a wiring diagram, if you can send one I can troubleshoot further. If you need me to check anything else please let me know, or if I am just way off let me know and I will see what else I can find. "
1099,"Wrong parts sent to the customer. information below. See below, it appears we made a shipping error with this order. We need to return 2-13100017, 8í Left Starter Rail, HPW2-250-4PG-8-SR-LH-096 We need to enter an order for 2-13100018, 8í Right Starter Rail, HPW2-250-4PG-8-SR-RH-096 1-13300208, coupler, HPW2-250-4PG-SP "
1100,"replace all of the infinity boards in all 4 units to bring them up to the good revision numbers site Satellite Svs Lackland AFB - DISA San Antonio, TX "
1101,See Nate for more details (1) HPW2-250-4PG-8-SR-LH-096 to be a HPW2-250-4PG-8-SR-RH-096	 (1) HPW2-250-4PG-8-SR-LH-024 to a (1) HPW2-250-4PG-8-SR-RH-024 
1102,"customer needed BCB57307 QOB120VH ( 1 Pole, 20A, 22kaic ) PDI Richmond shipped BCB57303 QOB120 ( 1 Pole, 20A, 10kaic) 2nd time this customer has received wrong breakers from PDI. First time noted on case 19854 site IRS - Graybar 8350 Haggerty Rd Belleville, MI 48111 "
1103,"order entry error. The the financial with single CS8369 on it, when the quote had qty 2 on it. AE's do not think they ever received an OA to double check everything need to return 4 boxes that were built with single CS8369/s to have the extra breaker / receptacles added. site TD Ameritrade Richardson, TX "
1104,"customer ordered 400A couplers TLN: 13300216 customer received 250A couplers TLN: 13300208 site Graybar - Christ Hospital 1022 W 8th St Cincinnati, OH 45203 "
1105,"customer ordered 30A 3P breakers - BCB06442 customer received 30A 2P breakers - BCB06441 site Servercentral Elk Grove Village, IL "
1106,Notes from site: We received a 2000A Agg Reactor at pinyon this morning. It looked like there were scorch marks on the unit and had a burnt smell. JR refused the order and sent it back to PDI. Pictures attached 
1107,"customer received shipment and found one breaker bad. site QTS 2800 S Ashland Ave Chicago, IL 60608 "
1108,"broken mast on TOB A51-0903-17 site American Airlines (Elliott Electric) Ft Worth, TX "
1109,"(94) of the 1 pole, 20 amp breakers that were shipped ARE NOT bolt-on breakers. The rest of the breakers are correct. The BOM is correct. site IRS - Graybar 8350 Haggerty Rd Belleville, MI 48111 "
1110,The customer received 800A couplers when 250A couplers were ordered. I am getting the exact count from the customer now. We will need to ship the correct ones this week. 
1111,"order form called for vertical TOBs. customer needs the horizontal TOBs site Netrality 210 N. Tucker St Louis, MO "
1112,"breaker failed during install - breaker keeps tripping BCB06444 site QTS Chicago, IL "
1113,Transformers appear to have shifted during transport and have caused bending on the bus 
1114,"Customer has reported that all A and C phase bus bars have oxidation present. B phase bars do not have issues. Due to security, contractor removed two bars and took off site to take a photo to share with PDI. Difficult to judge from photos, but oxidation definitely most pronounced at punched bolt holes. pictures attached. "
1115,"The com cards would not power up at all once power was put to the acquisition board. We checked this by taking the suspect com cards and moving them to acquisition boards that were known to be in good working order. site Sturgeon Electric Flexential Franklin, TN "
1116,"board would not take any configuration or hold a configuration when I imputed the parameters and followed the procedures to set the parameters on the board site Sturgeon Electric Flexential Franklin, TN "
1117,"customer ordered TLN 13300097 - 800 amp extrusion hangers. However, we had run out so the sheet metal 800amp hangers were shipped instead (but still under the same top level number - 800amp sheet metal hangers are under a MOD part #) customer cannot use the sheet metal hangers. site TD Ameritrade 1811 E Renner Rd Richardson, TX 75082 "
1118,STS had breaker smoke and spark when the unit tried to transfer. email attached 
1119,unit burned in the field. pictures attached 
1120,accumulator board PCA32108 not functioning properly during start up site Netrality 210 N. Tucker Blvd suite 1030 St Louis MO 63101 
1121,"site is having an issue with the ground studs pulling out of the bus rail and they are being torqued. The installers have had a couple of ground studs that have pulled out of the bus duct when they tightened them to the torque value listed in the installation manual. Site Microsoft Des Moines, IA "
1122,2 BCMS boards bad - U15 on the board looked damaged on one of the boards 
1123,broken TOB received by customer cracked mast 
1124,"customer had 3 boxes that would not disengage. site CyrusOne 2905 Diehl Rd Aurora, IL "
1125,"faulty TOB - pins broke in the cam mechanism site Graybar - Christ Hospital 1022 W 8th St Cincinnati, OH 45203 "
1126,accumulator board inside end feed is not working properly 
1127,"return of (qty 2) 12 ft rails. customer purchased 10 ft rail to replace. site Graybar - Christ Hospital 1022 W 8th St Cincinnati, OH 45203 "
1128,"shipped SO30285 with single breaker/receptacle and the boxes should have been dual breaker. site NiSource - NIPSCO Merrillville, IN "
1129,customer received incorrect RPP door panel. Door received had a display. Bill of materials did not call for a display site Walker Engineering c/o T5 6653 Pinecrest Dr Plano TX 
1130,"nail went thru crate and into the rail site Data Bank Eagan, MN "
1131,From Customer:See attached PDF for 2 issues we are having with the couplers recently sent out for COLO 4 and 5. I am guessing this issue took place due to the fact we were pushing to get these couplers so fast but please be aware of the issue. Customer is working on final count. See attachment As of 6/26/2019 the site found 24 more couplers with issues. 
1132,"2 boxes The cam is only engaging one of the ears to the rail, the other ear doesnít move. I went to my inventory to get the customer another box and found a bad box there too. It has something metallic rattling around in it, thereís no way Iím energizing that tap box. site Netrality 210 N Tucker St Louis, MO "
1133,"Customer received (7) starter rails and (5) out of (7) are incorrect. -0024 and 0020 are labeled as LH but built as RH, installer has installed as RH and needs field relabel. 0011 and 0005 are built as right need to be brought back to factory and reworked/relabeled as LH. 0022 is labeled as LH but built as RH, needs to be brought back to factory and rebuilt as LH. "
1134,Customer is reporting that coupler opening is smaller than the width of the bus bar in the rail. Photos are attached to case showing the issue. Contractor has previously installed PDI busway products and is certain that we have sent the incorrect coupler for the rails. Project is all 400A rails and it appears to be a 250A coupler. 
1135,Customer has a TOB with a 60A breaker where a 30A breaker should be installed. TOB is intended to have dual 30A breakers and instead has a 30A and a 60A. Photo attached to case. 
1136,"production shipped 6' starter rails with a sticker stating the rails were 3' starter rails. All rails with thru 2 QC checks. The customer hung the rails, but did not notice an issue until they tried connecting the 12' rails and they had no room in the data hall. Service was notified by production that we had shipped 6ft starter rails instead of 3ft. site Crawford Electric c/o Data Bank 3255 Neil Armstrong Blvd Eagan, MN 55121 "
1137,"Note from customer: We received the shipment yesterday and it wrong materials. As I asked prior to ordering I called out the model numbers you were using. The controllers were to be assembled with power supplies, the ribbons to be 10' long not short, CT's to be mounted on 1"" strip. How are you planning to resolve this? I need materials. Correct materials for fast moving project. "
1138,"customer received the wrong size coupler Looks like wrong part was pulled and shipped Site Microsoft Des Moines, IA "
1139,"We have a field issue with a Load Bank TOB that requires attention from multiple departments. 1)	Screw backed out or was not properly seated and torque sealed on a phase between the mast and CB busbar. This caused a high resistance and thermal event on the phase and softened/melted the polymer. 2)	Because this is built on two separate U-Channels the masts must be well aligned and tested for this alignment. The field had 1 side well aligned and engaged, and the other side would not engage due to the butterflies on the mast cams interfering with the rail penetration until properly seated. Looks like the knob was forced and the cam actuator rods were broken for both rods. 3)	Once the second mast was camíd, the screw to support the knob in the slider backed out and became stuck. This is a reoccurring issue with the screw backing out on the slider. Suggest engineering look into this. "
1140,"troubleshoot PDU. Output current are correct by amp meter. Input currents are showing incorrect values. serial # T18-04-US-S-4017 site QTS 6431 Longhorn Dr Irving, TX "
1141,Microsoft/Encore having same issues with these TOB as previous RMAs. 
1142,We should have supplied TC cable instead of SO. Customer is asking for replacements picture attached 
1143,22ea double TOB and 2ea single TOB were ordered by the customer and built incorrectly. They want to ship them back. Please see attachments 
1144,"customer received floor stands that were too tall. Part # received MIS09304 (32"" to 40"" stand) --- based on order form Part # needed MIS09213 (27"" to 25"" stand) site Digirtal Realty 2323 Bryan Street Dallas, TX 75201 "
1145,"customer ordered 2 power supplies PWS59014. customer received box and only 1 power supply was in the box. Order is closed out as if we shipped 2. site OVEC (Ohio Valley Electric Co) 5758 State Route 7 North Cheshire, OH 45620 "
1146,2nd of 2 issues. Installing contractor/Customer Cummins Electric complaining that End Feed and Starter Rail that were received do not work together. 2 of 2 orders (duplicate issue on SO#30765 for 2 additional rails). 
1147,Installing contractor/Customer Cummins Electric complaining that End Feed and Starter Rail that were received do not work together. 2 of 2 orders (duplicate issue on SO#30766 for 2 additional rails). 
1148,"From Customer: We received the shipment of TOB last week and removed a couple to inspect and test. Upon doing so we found a few things that are different from what we currently have installed at our site, please see below. Different wire restraints with a Single-Eye Bus Drop on one of the conductor which we donít use here and will have to remove as our SO cords are in a cable trays. Cord cap locking rings not installed. New design with no thumb screws - should there have been some kind of clips provided with these TOB to support them on the bus? Rated for 208/120 - our TOB are 415/240 as shown in the picture below. Embossed SO Cord - do you have any concerns with the cord as the embossed SO cord we have installed now is failing? Please see attached email with pictures "
1149,"one of the PDU's on the secondary STS has a bad transformer. The unit will need to be returned to PDI for inspection and repair site Wells Fargo 101 Leaf Lake Birmingham, AL "
1150,"one pallet of couplers arrived at MEI Riggining damaged from transit.. The pallet is broken and it appears that the boxes of couplers have shifted and could be smashed. site Microsoft (Turner) 9200 Rogers Rd San Antonio, TX "
1151,"cross current 1 alarm site CyrusOne 1649 W Frankford Rd Carrollton, TX "
1152,We are continuing installing the bus adaptor kits on the i-line bus. The QC for Dynaelectric noticed the neutral bus behind the I-line panel has 1/2 holes but the lugs and hardware mounted are 3/8 hole. The flat washers are doubled up on the back but are bent with the bolts torqued. Do we have thicker 3/8 washers than our standard 3/8 washers that will withstand the torque? Iíve already checked with Fastenal and they donít have anything thicker. There are 6 neutral cables for each unit(32). QC would like them changed out PICTURES ATTACHED 
1153,"incorrect size floor stands need to replace 20 in Stream San Antonio and 8 at Stream Garland site Stream San Antonio, TX Garland, TX "
1154,"3 RPPs with CT strip issues not reading channels properly site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
1155,"Customer request to BETA test the new SAS Board to prove it eliminated the SAS TX nuisance Alarm issue. Upon installing new board, transfer tests were performed and received output short alarm and had inrush from transformer. Board had to be removed and old board reinstalled to put STS back into service. Board to be returned to PDI for analysis. Notes from John Wood - ""We have a contracted customer at ascent in Cambridge ON, Canada where we are going to upgrade there Primary systems with the new SAS board. The customer wanted us to install the new sas in one unit with no critical customer loads attached. We installed the new SAS board and after the board was installed we conducted several manual transfers from the front touch screen. We received an output short alarm which cleared but we received inrush from the main transformer. This was an intermitting issue but always happen from source 1 to source 2. We replaced the monitor and the problem continued. We placed the original boards back in the unit and the system transferred as designed. The serial number of the unit is down below. I have reviewed our testing procedures at PDI and we do not test our SAS boards to a live transformer. Presently I have stopped the shipment of SAS boards to the field and testing the SAS boards in our testbay to a live transformer. We have tested 15 boards and have not noticed any issues at this time. We are working to get the SAS board back from our customer so we can perform some testing of the board to reproduce the issue. I wanted to keep you updated on this issue as continue to move forward. Serial #: 442-0077"" "
1156,"Sent customer incorrect rails Colton just checked in the 4 - 600A, 144î busrail, your team sent our 250A busrail again, see pictures. This is getting very old, please correct ASAP. This is the second shipment that we needed corrected on one order, I need 4 rails @ 600A 144î. We really needed these today, how long till I can get them? We will now have to rip apart separate crates to get the needed product. "
1157,Customer says TOB is not functioning. Needs repaired and returned. 
1158,"We need to change this from vertical to horizontal. Sales entered the order incorrectly. site City of Cincinnati 805 Central Avenue suite 300 Cincinnati, OH 45202 "
1159,"Notes from customer: Nate should have really had this stuff either labeled, or sent with a drawing showing what sections go where. Them shipping everything in a large crate for my field techs to sift through and make sense of is not working out at all here. From what we can tell we are missing the following: They sent 1 - 8' starter (HPW2-250-4PG-8-SR-LR-096) and that piece is backwards.. should be a RH and it does not have a TAP CAN at the beginning of it. I am missing 1 - 11.5' starter bus duct RH, with TAP CAN inside the middle Yellow cage We also got a 48"" piece that im not sure where this one goes. "
1160,"Fidelity received the (2) Tap-Off Boxes for 160-400A Busway, with (1) L22-30C. They have concerns about the quality control on the tap boxes that you sent, as (1) of the tap boxes was sent with a 60A circuit breaker and a 30A plug. site Fidelity 7133 Louis Stephens Drive Morrisville, NC "
1161,"We ordered the correct part in M2M PCB16518, but the incorrect part was shipped to customer PCB09815 "
1162,"Siemens 400AF/250AT circuit breaker having mechanical latching issue. Breaker will reset, but when attempting to close, mechanism is trip free and opens immediately. Possibly an accessory issue or damaged mechanism. Breaker to be replaced and RMA issued to bring original back to SNA. Siemens part number 3VA63255HN312AA0, PDI Part # CKB69584 "
1163,Notes from site Comments:				 Feeder Rails - Correctly labeled with P/N and Neutral but no 208v & 480v labels. 				 			 End Caps- Only 4 of the 37 pieces are labeled. 					 End Feed - Labels on 1st shipment of RH all boxes show 208 v. rather than the correct 480v.		 		 Other - No P/N identification on parts or shipping cartons for parts other than Rails & End Feeds. 
1164,Bad monitors. Will need to be replaced 
1165,"during start up found the following: BCMS board not functioning properly site Cyrus One 2300 Chelsea Blvd Allen, TX "
1166,Door open alarm on 3 STS units when the doors are fully closed 
1167,"He said with the proper input voltage at PDU (480 VAC), the monitor does not light up and when he attempts to close our Main, it trips free. Called customer and M4G board is not powering up. Check 480 plug and was getting proper voltage. Disconnected shunt trip and they were able to Close breaker. We need to investigate issue. M4G board might be bad. "
1168,"The main breaker on the PDU is tripping the unit. Customer has turned off the shunt trip but it is now making the monitor not work. serial # 110-4542 site Digital Realty 9355 Grand Ave Franklin Park, IL "
1169,Unit was giving a pulse alarm 
1170,breaker failed CKB57218 site Site M Thailand 
1171,"Breaker failed; went into alarm when breaker was opened. AZA-CE4 MZA-PDU 4 -FB 4 ID # 3490 site Microsoft Quincy, WA Contact: Jared Simmons 480-823-2649 "
1172,"During PM, found one unit could not be calibrated and the display was locked up. display was working fine, but will need to replace DCM board site Dept of Veteran Affairs 1615 Woodward St Austin, TX 78722 "
1173,"Unit 5 has a blank screen. 110-0065 site Accenture 161 N. Clark St Chicago, IL 60601 "
